season,week,treated,observed,population,immunisation_intensity,true_shift,true_log_speed
1,36,0,14,9719,0,-3.20802149619706,-0.0172377494443773
1,37,0,12,9719,0,-3.20802149619706,-0.0172377494443773
1,38,0,11,9719,0,-3.20802149619706,-0.0172377494443773
1,39,0,6,9719,0,-3.20802149619706,-0.0172377494443773
1,40,0,7,9719,0,-3.20802149619706,-0.0172377494443773
1,41,0,7,9719,0,-3.20802149619706,-0.0172377494443773
1,42,0,4,9719,0,-3.20802149619706,-0.0172377494443773
1,43,0,7,9719,0,-3.20802149619706,-0.0172377494443773
1,44,0,6,9719,0,-3.20802149619706,-0.0172377494443773
1,45,0,11,9719,0,-3.20802149619706,-0.0172377494443773
1,46,0,8,9719,0,-3.20802149619706,-0.0172377494443773
1,47,0,9,9719,0,-3.20802149619706,-0.0172377494443773
1,48,0,14,9719,0,-3.20802149619706,-0.0172377494443773
1,49,0,9,9719,0,-3.20802149619706,-0.0172377494443773
1,50,0,15,9719,0,-3.20802149619706,-0.0172377494443773
1,51,0,13,9719,0,-3.20802149619706,-0.0172377494443773
1,52,0,22,9719,0,-3.20802149619706,-0.0172377494443773
2,1,0,16,9719,0,2.50894233669501,-0.0124149230123666
2,2,0,12,9719,0,2.50894233669501,-0.0124149230123666
2,3,0,13,9719,0,2.50894233669501,-0.0124149230123666
2,4,0,16,9719,0,2.50894233669501,-0.0124149230123666
2,5,0,28,9719,0,2.50894233669501,-0.0124149230123666
2,6,0,28,9719,0,2.50894233669501,-0.0124149230123666
2,7,0,34,9719,0,2.50894233669501,-0.0124149230123666
2,8,0,32,9719,0,2.50894233669501,-0.0124149230123666
2,9,0,37,9719,0,2.50894233669501,-0.0124149230123666
2,10,0,42,9719,0,2.50894233669501,-0.0124149230123666
2,11,0,40,9719,0,2.50894233669501,-0.0124149230123666
2,12,0,37,9719,0,2.50894233669501,-0.0124149230123666
2,13,0,46,9719,0,2.50894233669501,-0.0124149230123666
2,14,0,32,9719,0,2.50894233669501,-0.0124149230123666
2,15,0,57,9719,0,2.50894233669501,-0.0124149230123666
2,16,0,55,9719,0,2.50894233669501,-0.0124149230123666
2,17,0,46,9719,0,2.50894233669501,-0.0124149230123666
2,18,0,42,9719,0,2.50894233669501,-0.0124149230123666
2,19,0,35,9719,0,2.50894233669501,-0.0124149230123666
2,20,0,29,9719,0,2.50894233669501,-0.0124149230123666
2,21,0,24,9719,0,2.50894233669501,-0.0124149230123666
2,22,0,23,9719,0,2.50894233669501,-0.0124149230123666
2,23,0,22,9719,0,2.50894233669501,-0.0124149230123666
2,24,0,29,9719,0,2.50894233669501,-0.0124149230123666
2,25,0,25,9719,0,2.50894233669501,-0.0124149230123666
2,26,0,16,9719,0,2.50894233669501,-0.0124149230123666
2,27,0,15,9719,0,2.50894233669501,-0.0124149230123666
2,28,0,17,9719,0,2.50894233669501,-0.0124149230123666
2,29,0,22,9719,0,2.50894233669501,-0.0124149230123666
2,30,0,12,9719,0,2.50894233669501,-0.0124149230123666
2,31,0,18,9719,0,2.50894233669501,-0.0124149230123666
2,32,0,19,9719,0,2.50894233669501,-0.0124149230123666
2,33,0,13,9719,0,2.50894233669501,-0.0124149230123666
2,34,0,17,9719,0,2.50894233669501,-0.0124149230123666
2,35,0,15,9719,0,2.50894233669501,-0.0124149230123666
2,36,0,7,9719,0,2.50894233669501,-0.0124149230123666
2,37,0,9,9719,0,2.50894233669501,-0.0124149230123666
2,38,0,19,9719,0,2.50894233669501,-0.0124149230123666
2,39,0,11,9719,0,2.50894233669501,-0.0124149230123666
2,40,0,12,9719,0,2.50894233669501,-0.0124149230123666
2,41,0,10,9719,0,2.50894233669501,-0.0124149230123666
2,42,0,10,9719,0,2.50894233669501,-0.0124149230123666
2,43,0,8,9719,0,2.50894233669501,-0.0124149230123666
2,44,0,6,9719,0,2.50894233669501,-0.0124149230123666
2,45,0,5,9719,0,2.50894233669501,-0.0124149230123666
2,46,0,2,9719,0,2.50894233669501,-0.0124149230123666
2,47,0,5,9719,0,2.50894233669501,-0.0124149230123666
2,48,0,10,9719,0,2.50894233669501,-0.0124149230123666
2,49,0,6,9719,0,2.50894233669501,-0.0124149230123666
2,50,0,6,9719,0,2.50894233669501,-0.0124149230123666
2,51,0,12,9719,0,2.50894233669501,-0.0124149230123666
2,52,0,10,9719,0,2.50894233669501,-0.0124149230123666
3,1,0,12,9719,0,0.920218999518946,-0.039256259714714
3,2,0,15,9719,0,0.920218999518946,-0.039256259714714
3,3,0,18,9719,0,0.920218999518946,-0.039256259714714
3,4,0,19,9719,0,0.920218999518946,-0.039256259714714
3,5,0,26,9719,0,0.920218999518946,-0.039256259714714
3,6,0,39,9719,0,0.920218999518946,-0.039256259714714
3,7,0,33,9719,0,0.920218999518946,-0.039256259714714
3,8,0,37,9719,0,0.920218999518946,-0.039256259714714
3,9,0,38,9719,0,0.920218999518946,-0.039256259714714
3,10,0,37,9719,0,0.920218999518946,-0.039256259714714
3,11,0,50,9719,0,0.920218999518946,-0.039256259714714
3,12,0,31,9719,0,0.920218999518946,-0.039256259714714
3,13,0,58,9719,0,0.920218999518946,-0.039256259714714
3,14,0,53,9719,0,0.920218999518946,-0.039256259714714
3,15,0,34,9719,0,0.920218999518946,-0.039256259714714
3,16,0,31,9719,0,0.920218999518946,-0.039256259714714
3,17,0,34,9719,0,0.920218999518946,-0.039256259714714
3,18,0,28,9719,0,0.920218999518946,-0.039256259714714
3,19,0,33,9719,0,0.920218999518946,-0.039256259714714
3,20,0,26,9719,0,0.920218999518946,-0.039256259714714
3,21,0,24,9719,0,0.920218999518946,-0.039256259714714
3,22,0,22,9719,0,0.920218999518946,-0.039256259714714
3,23,0,25,9719,0,0.920218999518946,-0.039256259714714
3,24,0,22,9719,0,0.920218999518946,-0.039256259714714
3,25,0,15,9719,0,0.920218999518946,-0.039256259714714
3,26,0,24,9719,0,0.920218999518946,-0.039256259714714
3,27,0,26,9719,0,0.920218999518946,-0.039256259714714
3,28,0,17,9719,0,0.920218999518946,-0.039256259714714
3,29,0,20,9719,0,0.920218999518946,-0.039256259714714
3,30,0,22,9719,0,0.920218999518946,-0.039256259714714
3,31,0,13,9719,0,0.920218999518946,-0.039256259714714
3,32,0,16,9719,0,0.920218999518946,-0.039256259714714
3,33,0,11,9719,0,0.920218999518946,-0.039256259714714
3,34,0,17,9719,0,0.920218999518946,-0.039256259714714
3,35,0,12,9719,0,0.920218999518946,-0.039256259714714
3,36,0,9,9719,0,0.920218999518946,-0.039256259714714
3,37,0,11,9719,0,0.920218999518946,-0.039256259714714
3,38,0,17,9719,0,0.920218999518946,-0.039256259714714
3,39,0,15,9719,0,0.920218999518946,-0.039256259714714
3,40,0,11,9719,0,0.920218999518946,-0.039256259714714
3,41,0,10,9719,0,0.920218999518946,-0.039256259714714
3,42,0,9,9719,0,0.920218999518946,-0.039256259714714
3,43,0,6,9719,0,0.920218999518946,-0.039256259714714
3,44,0,7,9719,0,0.920218999518946,-0.039256259714714
3,45,0,5,9719,0,0.920218999518946,-0.039256259714714
3,46,0,3,9719,0,0.920218999518946,-0.039256259714714
3,47,0,10,9719,0,0.920218999518946,-0.039256259714714
3,48,0,12,9719,0,0.920218999518946,-0.039256259714714
3,49,0,11,9719,0,0.920218999518946,-0.039256259714714
3,50,0,4,9719,0,0.920218999518946,-0.039256259714714
3,51,0,7,9719,0,0.920218999518946,-0.039256259714714
3,52,0,6,9719,0,0.920218999518946,-0.039256259714714
4,1,0,25,9719,0,-2.45572342195288,0.035280284360358
4,2,0,27,9719,0,-2.45572342195288,0.035280284360358
4,3,0,38,9719,0,-2.45572342195288,0.035280284360358
4,4,0,36,9719,0,-2.45572342195288,0.035280284360358
4,5,0,45,9719,0,-2.45572342195288,0.035280284360358
4,6,0,35,9719,0,-2.45572342195288,0.035280284360358
4,7,0,43,9719,0,-2.45572342195288,0.035280284360358
4,8,0,65,9719,0,-2.45572342195288,0.035280284360358
4,9,0,43,9719,0,-2.45572342195288,0.035280284360358
4,10,0,32,9719,0,-2.45572342195288,0.035280284360358
4,11,0,38,9719,0,-2.45572342195288,0.035280284360358
4,12,0,28,9719,0,-2.45572342195288,0.035280284360358
4,13,0,21,9719,0,-2.45572342195288,0.035280284360358
4,14,0,34,9719,0,-2.45572342195288,0.035280284360358
4,15,0,34,9719,0,-2.45572342195288,0.035280284360358
4,16,0,28,9719,0,-2.45572342195288,0.035280284360358
4,17,0,23,9719,0,-2.45572342195288,0.035280284360358
4,18,0,19,9719,0,-2.45572342195288,0.035280284360358
4,19,0,16,9719,0,-2.45572342195288,0.035280284360358
4,20,0,19,9719,0,-2.45572342195288,0.035280284360358
4,21,0,21,9719,0,-2.45572342195288,0.035280284360358
4,22,0,18,9719,0,-2.45572342195288,0.035280284360358
4,23,0,15,9719,0,-2.45572342195288,0.035280284360358
4,24,0,20,9719,0,-2.45572342195288,0.035280284360358
4,25,0,20,9719,0,-2.45572342195288,0.035280284360358
4,26,0,24,9719,0,-2.45572342195288,0.035280284360358
4,27,0,18,9719,0,-2.45572342195288,0.035280284360358
4,28,0,15,9719,0,-2.45572342195288,0.035280284360358
4,29,0,14,9719,0,-2.45572342195288,0.035280284360358
4,30,0,7,9719,0,-2.45572342195288,0.035280284360358
4,31,0,12,9719,0,-2.45572342195288,0.035280284360358
4,32,0,8,9719,0,-2.45572342195288,0.035280284360358
4,33,0,5,9719,0,-2.45572342195288,0.035280284360358
4,34,0,9,9719,0,-2.45572342195288,0.035280284360358
4,35,0,8,9719,0,-2.45572342195288,0.035280284360358
4,36,0,10,9719,0,-2.45572342195288,0.035280284360358
4,37,0,14,9719,0,-2.45572342195288,0.035280284360358
4,38,0,3,9719,0,-2.45572342195288,0.035280284360358
4,39,0,8,9719,0,-2.45572342195288,0.035280284360358
4,40,0,3,9719,0,-2.45572342195288,0.035280284360358
4,41,0,6,9719,0,-2.45572342195288,0.035280284360358
4,42,0,10,9719,0,-2.45572342195288,0.035280284360358
4,43,0,9,9719,0,-2.45572342195288,0.035280284360358
4,44,0,10,9719,0,-2.45572342195288,0.035280284360358
4,45,0,6,9719,0,-2.45572342195288,0.035280284360358
4,46,0,10,9719,0,-2.45572342195288,0.035280284360358
4,47,0,12,9719,0,-2.45572342195288,0.035280284360358
4,48,0,9,9719,0,-2.45572342195288,0.035280284360358
4,49,0,14,9719,0,-2.45572342195288,0.035280284360358
4,50,0,12,9719,0,-2.45572342195288,0.035280284360358
4,51,0,20,9719,0,-2.45572342195288,0.035280284360358
4,52,0,33,9719,0,-2.45572342195288,0.035280284360358
5,1,1,7,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,2,1,4,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,3,1,8,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,4,1,5,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,5,1,10,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,6,1,11,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,7,1,18,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,8,1,5,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,9,1,15,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,10,1,19,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,11,1,20,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,12,1,19,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,13,1,30,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,14,1,28,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,15,1,27,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,16,1,21,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,17,1,32,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,18,1,14,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,19,1,19,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,20,1,23,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,21,1,10,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,22,1,16,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,23,1,11,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,24,1,15,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,25,1,11,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,26,1,15,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,27,1,8,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,28,1,8,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,29,1,19,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,30,1,11,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,31,1,14,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,32,1,15,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,33,1,9,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,34,1,6,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,35,1,10,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,36,1,14,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,37,1,7,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,38,1,5,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,39,1,6,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,40,1,6,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,41,1,9,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,42,1,4,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,43,1,6,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,44,1,4,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,45,1,4,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,46,1,4,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,47,1,0,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,48,1,7,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,49,1,4,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,50,1,5,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,51,1,7,9719,1.03383627309845,5.01071783831325,0.0636603298506205
5,52,1,6,9719,1.03383627309845,5.01071783831325,0.0636603298506205
6,1,1,17,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,2,1,17,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,3,1,11,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,4,1,18,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,5,1,15,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,6,1,26,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,7,1,34,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,8,1,18,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,9,1,24,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,10,1,15,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,11,1,14,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,12,1,16,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,13,1,10,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,14,1,15,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,15,1,18,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,16,1,13,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,17,1,21,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,18,1,10,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,19,1,18,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,20,1,11,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,21,1,8,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,22,1,11,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,23,1,5,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,24,1,7,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,25,1,10,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,26,1,12,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,27,1,6,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,28,1,10,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,29,1,12,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,30,1,7,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,31,1,8,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,32,1,5,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,33,1,7,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,34,1,6,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,35,1,9,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,36,1,5,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,37,1,3,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,38,1,3,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,39,1,2,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,40,1,2,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,41,1,2,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,42,1,5,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,43,1,2,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,44,1,0,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,45,1,4,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,46,1,3,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,47,1,5,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,48,1,4,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,49,1,5,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,50,1,3,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,51,1,9,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
6,52,1,12,9719,1.03383627309845,-2.77613425637726,-0.0300316820395206
